studentId,grade,classNo,groupId,role
203halo,2,3,G3,student
204lion,2,4,G3,student
204rose,2,4,G3,student
204mars,2,4,G3,student
204hope,2,4,G3,student
204swan,2,4,G3,student
204lily,2,4,G3,student
204nova,2,4,G3,student
204kind,2,4,G3,student
204orca,2,4,G3,student
204leaf,2,4,G3,student
204star,2,4,G3,student
204wise,2,4,G3,student
204puma,2,4,G3,student
204sage,2,4,G3,student
204luna,2,4,G3,student
204wish,2,4,G3,student
204deer,2,4,G3,student
204pine,2,4,G3,student
204vega,2,4,G3,student
204pure,2,4,G3,student
204dove,2,4,G3,student
204mint,2,4,G3,student
204orbi,2,4,G3,student
204brav,2,4,G3,student
204seal,2,4,G3,student
204oliv,2,4,G3,student
204gala,2,4,G3,student
204hero,2,4,G3,student
204hawk,2,4,G3,student
204glow,2,4,G3,student
204halo,2,4,G3,student
205lion,2,5,G4,student
205rose,2,5,G4,student
205mars,2,5,G4,student
205hope,2,5,G4,student
205swan,2,5,G4,student
205lily,2,5,G4,student
205nova,2,5,G4,student
205kind,2,5,G4,student
205orca,2,5,G4,student
205leaf,2,5,G4,student
205star,2,5,G4,student
205wise,2,5,G4,student
205puma,2,5,G4,student
205sage,2,5,G4,student
205luna,2,5,G4,student
205wish,2,5,G4,student
205deer,2,5,G4,student
205pine,2,5,G4,student
205vega,2,5,G4,student
205pure,2,5,G4,student
205dove,2,5,G4,student
205mint,2,5,G4,student
205orbi,2,5,G4,student
205brav,2,5,G4,student
205seal,2,5,G4,student
205oliv,2,5,G4,student
205gala,2,5,G4,student
205hero,2,5,G4,student
205hawk,2,5,G4,student
205glow,2,5,G4,student
205halo,2,5,G4,student
206lion,2,6,G4,student
206rose,2,6,G4,student
206mars,2,6,G4,student
206hope,2,6,G4,student
206swan,2,6,G4,student
206lily,2,6,G4,student
206nova,2,6,G4,student
206kind,2,6,G4,student
206orca,2,6,G4,student
206leaf,2,6,G4,student
206star,2,6,G4,student
206wise,2,6,G4,student
206puma,2,6,G4,student
206sage,2,6,G4,student
206luna,2,6,G4,student
206wish,2,6,G4,student
206deer,2,6,G4,student
206pine,2,6,G4,student
206vega,2,6,G4,student
206pure,2,6,G4,student
206dove,2,6,G4,student
206mint,2,6,G4,student
206orbi,2,6,G4,student
206brav,2,6,G4,student
206seal,2,6,G4,student
206oliv,2,6,G4,student
206gala,2,6,G4,student
206hero,2,6,G4,student
206hawk,2,6,G4,student
206glow,2,6,G4,student
206halo,2,6,G4,student
207lion,2,7,G4,student
207rose,2,7,G4,student
207mars,2,7,G4,student
207hope,2,7,G4,student
207swan,2,7,G4,student
207lily,2,7,G4,student
207nova,2,7,G4,student
207kind,2,7,G4,student
207orca,2,7,G4,student
207leaf,2,7,G4,student
207star,2,7,G4,student
207wise,2,7,G4,student
207puma,2,7,G4,student
207sage,2,7,G4,student
207luna,2,7,G4,student
207wish,2,7,G4,student
207deer,2,7,G4,student
207pine,2,7,G4,student
207vega,2,7,G4,student
207pure,2,7,G4,student
207dove,2,7,G4,student
207mint,2,7,G4,student
207orbi,2,7,G4,student
207brav,2,7,G4,student
207seal,2,7,G4,student
207oliv,2,7,G4,student
207gala,2,7,G4,student
207hero,2,7,G4,student
207hawk,2,7,G4,student
207glow,2,7,G4,student
207halo,2,7,G4,student
208lion,2,8,G4,student
208rose,2,8,G4,student
208mars,2,8,G4,student
208hope,2,8,G4,student
208swan,2,8,G4,student
208lily,2,8,G4,student
208nova,2,8,G4,student
208kind,2,8,G4,student
208orca,2,8,G4,student
208leaf,2,8,G4,student
208star,2,8,G4,student
208wise,2,8,G4,student
208puma,2,8,G4,student
208sage,2,8,G4,student
208luna,2,8,G4,student
208wish,2,8,G4,student
208deer,2,8,G4,student
208pine,2,8,G4,student
208vega,2,8,G4,student
208pure,2,8,G4,student
208dove,2,8,G4,student
208mint,2,8,G4,student
208orbi,2,8,G4,student
208brav,2,8,G4,student
208seal,2,8,G4,student
208oliv,2,8,G4,student
208gala,2,8,G4,student
208hero,2,8,G4,student
208hawk,2,8,G4,student
208glow,2,8,G4,student
208halo,2,8,G4,student
209lion,2,9,G4,student
209rose,2,9,G4,student
209mars,2,9,G4,student
209hope,2,9,G4,student
209swan,2,9,G4,student
209lily,2,9,G4,student
209nova,2,9,G4,student
209kind,2,9,G4,student
209orca,2,9,G4,student
209leaf,2,9,G4,student
209star,2,9,G4,student
209wise,2,9,G4,student
209puma,2,9,G4,student
209sage,2,9,G4,student
209luna,2,9,G4,student
209wish,2,9,G4,student
209deer,2,9,G4,student
209pine,2,9,G4,student
209vega,2,9,G4,student
209pure,2,9,G4,student
209dove,2,9,G4,student
209mint,2,9,G4,student
209orbi,2,9,G4,student
209brav,2,9,G4,student
209seal,2,9,G4,student
209oliv,2,9,G4,student
209gala,2,9,G4,student
209hero,2,9,G4,student
209hawk,2,9,G4,student
209glow,2,9,G4,student
209halo,2,9,G4,student
210lion,2,10,G4,student
210rose,2,10,G4,student
210mars,2,10,G4,student
210hope,2,10,G4,student
210swan,2,10,G4,student
210lily,2,10,G4,student
210nova,2,10,G4,student
210kind,2,10,G4,student
210orca,2,10,G4,student
210leaf,2,10,G4,student
210star,2,10,G4,student
210wise,2,10,G4,student
210puma,2,10,G4,student
210sage,2,10,G4,student
210luna,2,10,G4,student
210wish,2,10,G4,student
210deer,2,10,G4,student
210pine,2,10,G4,student
210vega,2,10,G4,student
210pure,2,10,G4,student
210dove,2,10,G4,student
210mint,2,10,G4,student
210orbi,2,10,G4,student
210brav,2,10,G4,student
210seal,2,10,G4,student
210oliv,2,10,G4,student
210gala,2,10,G4,student
210hero,2,10,G4,student
210hawk,2,10,G4,student
210glow,2,10,G4,student
210halo,2,10,G4,student
301lion,3,1,G5,student
301rose,3,1,G5,student
301mars,3,1,G5,student
301hope,3,1,G5,student
301swan,3,1,G5,student
301lily,3,1,G5,student
301nova,3,1,G5,student
301kind,3,1,G5,student
301orca,3,1,G5,student
301leaf,3,1,G5,student
301star,3,1,G5,student
301wise,3,1,G5,student
301puma,3,1,G5,student
301sage,3,1,G5,student
301luna,3,1,G5,student
301wish,3,1,G5,student
301deer,3,1,G5,student
301pine,3,1,G5,student
301vega,3,1,G5,student
301pure,3,1,G5,student
301dove,3,1,G5,student
301mint,3,1,G5,student
301orbi,3,1,G5,student
301brav,3,1,G5,student
301seal,3,1,G5,student
301oliv,3,1,G5,student
301gala,3,1,G5,student
301hero,3,1,G5,student
301hawk,3,1,G5,student
301glow,3,1,G5,student
301halo,3,1,G5,student
302lion,3,2,G5,student
302rose,3,2,G5,student
302mars,3,2,G5,student
302hope,3,2,G5,student
302swan,3,2,G5,student
302lily,3,2,G5,student
302nova,3,2,G5,student
302kind,3,2,G5,student
302orca,3,2,G5,student
302leaf,3,2,G5,student
302star,3,2,G5,student
302wise,3,2,G5,student
302puma,3,2,G5,student
302sage,3,2,G5,student
302luna,3,2,G5,student
302wish,3,2,G5,student
302deer,3,2,G5,student
302pine,3,2,G5,student
302vega,3,2,G5,student
302pure,3,2,G5,student
302dove,3,2,G5,student
302mint,3,2,G5,student
302orbi,3,2,G5,student
302brav,3,2,G5,student
302seal,3,2,G5,student
302oliv,3,2,G5,student
302gala,3,2,G5,student
302hero,3,2,G5,student
302hawk,3,2,G5,student
302glow,3,2,G5,student
302halo,3,2,G5,student
303lion,3,3,G5,student
303rose,3,3,G5,student
303mars,3,3,G5,student
303hope,3,3,G5,student
303swan,3,3,G5,student
303lily,3,3,G5,student
303nova,3,3,G5,student
303kind,3,3,G5,student
303orca,3,3,G5,student
303leaf,3,3,G5,student
303star,3,3,G5,student
303wise,3,3,G5,student
303puma,3,3,G5,student
303sage,3,3,G5,student
303luna,3,3,G5,student
303wish,3,3,G5,student
303deer,3,3,G5,student
303pine,3,3,G5,student
303vega,3,3,G5,student
303pure,3,3,G5,student
303dove,3,3,G5,student
303mint,3,3,G5,student
303orbi,3,3,G5,student
303brav,3,3,G5,student
303seal,3,3,G5,student
303oliv,3,3,G5,student
303gala,3,3,G5,student
303hero,3,3,G5,student
303hawk,3,3,G5,student
303glow,3,3,G5,student
303halo,3,3,G5,student
304lion,3,4,G6,student
304rose,3,4,G6,student
304mars,3,4,G6,student
304hope,3,4,G6,student
304swan,3,4,G6,student
304lily,3,4,G6,student
304nova,3,4,G6,student
304kind,3,4,G6,student
304orca,3,4,G6,student
304leaf,3,4,G6,student
304star,3,4,G6,student
304wise,3,4,G6,student
304puma,3,4,G6,student
304sage,3,4,G6,student
304luna,3,4,G6,student
304wish,3,4,G6,student
304deer,3,4,G6,student
304pine,3,4,G6,student
304vega,3,4,G6,student
304pure,3,4,G6,student
304dove,3,4,G6,student
304mint,3,4,G6,student
304orbi,3,4,G6,student
304brav,3,4,G6,student
304seal,3,4,G6,student
304oliv,3,4,G6,student
304gala,3,4,G6,student
304hero,3,4,G6,student
304hawk,3,4,G6,student
304glow,3,4,G6,student
304halo,3,4,G6,student
305lion,3,5,G6,student
305rose,3,5,G6,student
305mars,3,5,G6,student
305hope,3,5,G6,student
305swan,3,5,G6,student
305lily,3,5,G6,student
305nova,3,5,G6,student
305kind,3,5,G6,student
305orca,3,5,G6,student
305leaf,3,5,G6,student
305star,3,5,G6,student
305wise,3,5,G6,student
305puma,3,5,G6,student
305sage,3,5,G6,student
305luna,3,5,G6,student
305wish,3,5,G6,student
305deer,3,5,G6,student
305pine,3,5,G6,student
305vega,3,5,G6,student
305pure,3,5,G6,student
305dove,3,5,G6,student
305mint,3,5,G6,student
305orbi,3,5,G6,student
305brav,3,5,G6,student
305seal,3,5,G6,student
305oliv,3,5,G6,student
305gala,3,5,G6,student
305hero,3,5,G6,student
305hawk,3,5,G6,student
305glow,3,5,G6,student
305halo,3,5,G6,student
306lion,3,6,G6,student
306rose,3,6,G6,student
306mars,3,6,G6,student
306hope,3,6,G6,student
306swan,3,6,G6,student
306lily,3,6,G6,student
306nova,3,6,G6,student
306kind,3,6,G6,student
306orca,3,6,G6,student
306leaf,3,6,G6,student
306star,3,6,G6,student
306wise,3,6,G6,student
306puma,3,6,G6,student
306sage,3,6,G6,student
306luna,3,6,G6,student
306wish,3,6,G6,student
306deer,3,6,G6,student
306pine,3,6,G6,student
306vega,3,6,G6,student
306pure,3,6,G6,student
306dove,3,6,G6,student
306mint,3,6,G6,student
306orbi,3,6,G6,student
306brav,3,6,G6,student
306seal,3,6,G6,student
306oliv,3,6,G6,student
306gala,3,6,G6,student
306hero,3,6,G6,student
306hawk,3,6,G6,student
306glow,3,6,G6,student
306halo,3,6,G6,student
307lion,3,7,G7,student
307rose,3,7,G7,student
307mars,3,7,G7,student
307hope,3,7,G7,student
307swan,3,7,G7,student
307lily,3,7,G7,student
307nova,3,7,G7,student
307kind,3,7,G7,student
307orca,3,7,G7,student
307leaf,3,7,G7,student
307star,3,7,G7,student
307wise,3,7,G7,student
307puma,3,7,G7,student
307sage,3,7,G7,student
307luna,3,7,G7,student
307wish,3,7,G7,student
307deer,3,7,G7,student
307pine,3,7,G7,student
307vega,3,7,G7,student
307pure,3,7,G7,student
307dove,3,7,G7,student
307mint,3,7,G7,student
307orbi,3,7,G7,student
307brav,3,7,G7,student
307seal,3,7,G7,student
307oliv,3,7,G7,student
307gala,3,7,G7,student
307hero,3,7,G7,student
307hawk,3,7,G7,student
307glow,3,7,G7,student
307halo,3,7,G7,student
308lion,3,8,G7,student
308rose,3,8,G7,student
308mars,3,8,G7,student
308hope,3,8,G7,student
308swan,3,8,G7,student
308lily,3,8,G7,student
308nova,3,8,G7,student
308kind,3,8,G7,student
308orca,3,8,G7,student
308leaf,3,8,G7,student
308star,3,8,G7,student
308wise,3,8,G7,student
308puma,3,8,G7,student
308sage,3,8,G7,student
308luna,3,8,G7,student
308wish,3,8,G7,student
308deer,3,8,G7,student
308pine,3,8,G7,student
308vega,3,8,G7,student
308pure,3,8,G7,student
308dove,3,8,G7,student
308mint,3,8,G7,student
308orbi,3,8,G7,student
308brav,3,8,G7,student
308seal,3,8,G7,student
308oliv,3,8,G7,student
308gala,3,8,G7,student
308hero,3,8,G7,student
308hawk,3,8,G7,student
308glow,3,8,G7,student
308halo,3,8,G7,student
309lion,3,9,G7,student
309rose,3,9,G7,student
309mars,3,9,G7,student
309hope,3,9,G7,student
309swan,3,9,G7,student
309lily,3,9,G7,student
309nova,3,9,G7,student
309kind,3,9,G7,student
309orca,3,9,G7,student
309leaf,3,9,G7,student
309star,3,9,G7,student
309wise,3,9,G7,student
309puma,3,9,G7,student
309sage,3,9,G7,student
309luna,3,9,G7,student
309wish,3,9,G7,student
309deer,3,9,G7,student
309pine,3,9,G7,student
309vega,3,9,G7,student
309pure,3,9,G7,student
309dove,3,9,G7,student
309mint,3,9,G7,student
309orbi,3,9,G7,student
309brav,3,9,G7,student
309seal,3,9,G7,student
309oliv,3,9,G7,student
309gala,3,9,G7,student
309hero,3,9,G7,student
309hawk,3,9,G7,student
309glow,3,9,G7,student
309halo,3,9,G7,student
310lion,3,10,G6,student
310rose,3,10,G6,student
310mars,3,10,G6,student
310hope,3,10,G6,student
310swan,3,10,G6,student
310lily,3,10,G6,student
310nova,3,10,G6,student
310kind,3,10,G6,student
310orca,3,10,G6,student
310leaf,3,10,G6,student
310star,3,10,G6,student
310wise,3,10,G6,student
310puma,3,10,G6,student
310sage,3,10,G6,student
310luna,3,10,G6,student
310wish,3,10,G6,student
310deer,3,10,G6,student
310pine,3,10,G6,student
310vega,3,10,G6,student
310pure,3,10,G6,student
310dove,3,10,G6,student
310mint,3,10,G6,student
310orbi,3,10,G6,student
310brav,3,10,G6,student
310seal,3,10,G6,student
310oliv,3,10,G6,student
310gala,3,10,G6,student
310hero,3,10,G6,student
310hawk,3,10,G6,student
310glow,3,10,G6,student
310halo,3,10,G6,student
101tree,1,1,G1,student
101wind,1,1,G1,student
101lake,1,1,G1,student
101book,1,1,G1,student
101love,1,1,G1,student
102tree,1,2,G1,student
102wind,1,2,G1,student
102lake,1,2,G1,student
102book,1,2,G1,student
102love,1,2,G1,student
103tree,1,3,G1,student
103wind,1,3,G1,student
103lake,1,3,G1,student
103book,1,3,G1,student
103love,1,3,G1,student
104tree,1,4,G1,student
104wind,1,4,G1,student
104lake,1,4,G1,student
104book,1,4,G1,student
104love,1,4,G1,student
105tree,1,5,G1,student
105wind,1,5,G1,student
105lake,1,5,G1,student
105book,1,5,G1,student
105love,1,5,G1,student
106tree,1,6,G2,student
106wind,1,6,G2,student
106lake,1,6,G2,student
106book,1,6,G2,student
106love,1,6,G2,student
107tree,1,7,G2,student
107wind,1,7,G2,student
107lake,1,7,G2,student
107book,1,7,G2,student
107love,1,7,G2,student
108tree,1,8,G2,student
108wind,1,8,G2,student
108lake,1,8,G2,student
108book,1,8,G2,student
108love,1,8,G2,student
109tree,1,9,G2,student
109wind,1,9,G2,student
109lake,1,9,G2,student
109book,1,9,G2,student
109love,1,9,G2,student
110tree,1,10,G2,student
110wind,1,10,G2,student
110lake,1,10,G2,student
110book,1,10,G2,student
110love,1,10,G2,student
201tree,2,1,G3,student
201wind,2,1,G3,student
201lake,2,1,G3,student
201book,2,1,G3,student
201love,2,1,G3,student
202tree,2,2,G3,student
202wind,2,2,G3,student
202lake,2,2,G3,student
202book,2,2,G3,student
202love,2,2,G3,student
203tree,2,3,G3,student
203wind,2,3,G3,student
203lake,2,3,G3,student
203book,2,3,G3,student
203love,2,3,G3,student
204tree,2,4,G3,student
204wind,2,4,G3,student
204lake,2,4,G3,student
204book,2,4,G3,student
204love,2,4,G3,student
205tree,2,5,G4,student
205wind,2,5,G4,student
205lake,2,5,G4,student
205book,2,5,G4,student
205love,2,5,G4,student
206tree,2,6,G4,student
206wind,2,6,G4,student
206lake,2,6,G4,student
206book,2,6,G4,student
206love,2,6,G4,student
207tree,2,7,G4,student
207wind,2,7,G4,student
207lake,2,7,G4,student
207book,2,7,G4,student
207love,2,7,G4,student
208tree,2,8,G4,student
208wind,2,8,G4,student
208lake,2,8,G4,student
208book,2,8,G4,student
208love,2,8,G4,student
209tree,2,9,G4,student
209wind,2,9,G4,student
209lake,2,9,G4,student
209book,2,9,G4,student
209love,2,9,G4,student
210tree,2,10,G4,student
210wind,2,10,G4,student
210lake,2,10,G4,student
210book,2,10,G4,student
210love,2,10,G4,student
301tree,3,1,G5,student
301wind,3,1,G5,student
301lake,3,1,G5,student
301book,3,1,G5,student
301love,3,1,G5,student
302tree,3,2,G5,student
302wind,3,2,G5,student
302lake,3,2,G5,student
302book,3,2,G5,student
302love,3,2,G5,student
303tree,3,3,G5,student
303wind,3,3,G5,student
303lake,3,3,G5,student
303book,3,3,G5,student
303love,3,3,G5,student
304tree,3,4,G6,student
304wind,3,4,G6,student
304lake,3,4,G6,student
304book,3,4,G6,student
304love,3,4,G6,student
305tree,3,5,G6,student
305wind,3,5,G6,student
305lake,3,5,G6,student
305book,3,5,G6,student
305love,3,5,G6,student
306tree,3,6,G6,student
306wind,3,6,G6,student
306lake,3,6,G6,student
306book,3,6,G6,student
306love,3,6,G6,student
307tree,3,7,G7,student
307wind,3,7,G7,student
307lake,3,7,G7,student
307book,3,7,G7,student
307love,3,7,G7,student
308tree,3,8,G7,student
308wind,3,8,G7,student
308lake,3,8,G7,student
308book,3,8,G7,student
308love,3,8,G7,student
309tree,3,9,G7,student
309wind,3,9,G7,student
309lake,3,9,G7,student
309book,3,9,G7,student
309love,3,9,G7,student
310tree,3,10,G6,student
310wind,3,10,G6,student
310lake,3,10,G6,student
310book,3,10,G6,student
310love,3,10,G6,student
